iter	Passed	Remaining
0	312	155777
1	432	107675
2	525	87069
3	617	76575
4	720	71365
5	831	68486
6	927	65336
7	1012	62293
8	1111	60641
9	1221	59839
10	1328	59077
11	1429	58138
12	1527	57231
13	1623	56372
14	1725	55795
15	1826	55248
16	1920	54563
17	2010	53843
18	2101	53191
19	2188	52518
20	2273	51864
21	2354	51151
22	2437	50556
23	2524	50078
24	2607	49546
25	2702	49270
26	2803	49114
27	2908	49028
28	3006	48829
29	3103	48616
30	3189	48258
31	3309	48405
32	3412	48289
33	3505	48042
34	3605	47902
35	3694	47613
36	3783	47348
37	3861	46947
38	3950	46691
39	4105	47208
40	4191	46925
41	4280	46674
42	4371	46456
43	4465	46273
44	4567	46184
45	4656	45960
46	4734	45631
47	4810	45302
48	4895	45058
49	4979	44818
50	5073	44667
51	5154	44408
52	5257	44339
53	5346	44157
54	5415	43817
55	5513	43712
56	5601	43533
57	5671	43221
58	5764	43086
59	5844	42862
60	5929	42673
61	6019	42522
62	6101	42326
63	6182	42115
64	6277	42013
65	6359	41819
66	6441	41628
67	6519	41418
68	6600	41227
69	6678	41022
70	6749	40779
71	6824	40568
72	6912	40430
73	7008	40348
74	7089	40172
75	7173	40020
76	7274	39961
77	7358	39811
78	7467	39794
79	7569	39738
80	7647	39561
81	7727	39390
82	7818	39279
83	7906	39157
84	7980	38964
85	8067	38836
86	8139	38637
87	8239	38577
88	8334	38490
89	8417	38346
90	8498	38198
91	8593	38109
92	8682	37995
93	8767	37869
94	8850	37732
95	8938	37617
96	9009	37431
97	9094	37304
98	9174	37161
99	9253	37014
100	9326	36843
101	9400	36681
102	9485	36561
103	9601	36558
104	9706	36513
105	9813	36475
106	9911	36402
107	10012	36341
108	10096	36216
109	10179	36092
110	10273	36002
111	10375	35942
112	10465	35843
113	10551	35725
114	10639	35617
115	10729	35516
116	10815	35405
117	10956	35469
118	11107	35562
119	11217	35521
120	11327	35481
121	11430	35415
122	11543	35382
123	11651	35329
124	11755	35265
125	11845	35160
126	11936	35058
127	12036	34981
128	12134	34899
129	12219	34779
130	12310	34676
131	12400	34571
132	12491	34468
133	12595	34403
134	12693	34319
135	12781	34209
136	12870	34103
137	12945	33959
138	13036	33857
139	13116	33728
140	13191	33585
141	13277	33473
142	13375	33392
143	13468	33296
144	13554	33185
145	13665	33134
146	13772	33072
147	13857	32957
148	13958	32881
149	14041	32763
150	14137	32674
151	14240	32602
152	14332	32505
153	14436	32436
154	14533	32347
155	14622	32245
156	14723	32166
157	14820	32079
158	14901	31959
159	14985	31844
160	15072	31737
161	15210	31736
162	15319	31672
163	15428	31609
164	15510	31491
165	15586	31360
166	15653	31213
167	15751	31128
168	15852	31048
169	15913	30890
170	15997	30778
171	16076	30656
172	16158	30541
173	16250	30446
174	16332	30331
175	16409	30208
176	16489	30091
177	16587	30006
178	16683	29917
179	16763	29800
180	16853	29703
181	16943	29604
182	17026	29493
183	17104	29375
184	17190	29270
185	17275	29163
186	17342	29027
187	17435	28935
188	17517	28825
189	17608	28730
190	17687	28614
191	17794	28545
192	17869	28424
193	17963	28333
194	18043	28222
195	18121	28106
196	18208	28005
197	18285	27890
198	18374	27793
199	18449	27674
200	18526	27559
201	18598	27437
202	18671	27317
203	18764	27226
204	18887	27179
205	19006	27125
206	19084	27014
207	19166	26906
208	19229	26774
209	19313	26671
210	19387	26554
211	19456	26431
212	19536	26323
213	19610	26208
214	19688	26099
215	19779	26006
216	19854	25893
217	19933	25785
218	20007	25671
219	20088	25566
220	20161	25453
221	20245	25352
222	20338	25263
223	20404	25141
224	20497	25053
225	20588	24960
226	20677	24867
227	20758	24764
228	20834	24655
229	20929	24568
230	21009	24465
231	21091	24364
232	21186	24277
233	21261	24169
234	21351	24077
235	21439	23982
236	21534	23896
237	21621	23802
238	21710	23709
239	21789	23605
240	21877	23511
241	21987	23440
242	22087	23359
243	22185	23276
244	22276	23185
245	22387	23115
246	22464	23010
247	22549	22912
248	22652	22834
249	22759	22759
250	22846	22664
251	22954	22589
252	23048	22501
253	23151	22421
254	23245	22333
255	23351	22256
256	23457	22179
257	23555	22095
258	23661	22016
259	23761	21933
260	23846	21836
261	23971	21775
262	24058	21679
263	24144	21584
264	24232	21488
265	24311	21387
266	24394	21288
267	24470	21183
268	24557	21088
269	24646	20995
270	24746	20910
271	24826	20810
272	24906	20709
273	24997	20618
274	25073	20514
275	25148	20410
276	25227	20309
277	25323	20222
278	25419	20134
279	25510	20043
280	25607	19957
281	25687	19858
282	25765	19756
283	25846	19657
284	25931	19562
285	26014	19465
286	26099	19370
287	26175	19268
288	26268	19178
289	26362	19090
290	26444	18992
291	26539	18904
292	26639	18820
293	26743	18738
294	26828	18643
295	26935	18563
296	27046	18486
297	27139	18396
298	27247	18316
299	27339	18226
300	27454	18150
301	27549	18062
302	27642	17971
303	27760	17898
304	27851	17806
305	27974	17735
306	28083	17654
307	28215	17589
308	28303	17494
309	28387	17398
310	28466	17299
311	28582	17222
312	28699	17146
313	28800	17060
314	28911	16979
315	28988	16879
316	29093	16795
317	29201	16712
318	29300	16624
319	29417	16547
320	29504	16452
321	29587	16355
322	29678	16263
323	29766	16169
324	29843	16069
325	29940	15980
326	30017	15881
327	30102	15785
328	30191	15692
329	30275	15596
330	30375	15508
331	30443	15404
332	30561	15326
333	30658	15237
334	30770	15155
335	30841	15053
336	30948	14968
337	31039	14877
338	31146	14792
339	31237	14699
340	31318	14603
341	31403	14508
342	31494	14415
343	31602	14331
344	31683	14234
345	31776	14143
346	31852	14044
347	31964	13961
348	32049	13866
349	32158	13782
350	32272	13699
351	32361	13606
352	32451	13513
353	32536	13418
354	32642	13333
355	32729	13238
356	32835	13152
357	32951	13069
358	33061	12985
359	33167	12898
360	33278	12813
361	33372	12721
362	33456	12626
363	33559	12538
364	33652	12446
365	33761	12360
366	33917	12291
367	34035	12208
368	34135	12118
369	34237	12029
370	34351	11944
371	34438	11849
372	34540	11760
373	34683	11684
374	34775	11591
375	34865	11498
376	34943	11400
377	35023	11303
378	35116	11211
379	35211	11119
380	35306	11027
381	35394	10933
382	35474	10836
383	35567	10744
384	35642	10646
385	35726	10551
386	35807	10455
387	35887	10359
388	35956	10260
389	36050	10168
390	36127	10071
391	36199	9973
392	36314	9887
393	36428	9800
394	36531	9710
395	36639	9622
396	36750	9534
397	36840	9441
398	36930	9348
399	37010	9252
400	37088	9156
401	37173	9062
402	37269	8970
403	37373	8880
404	37485	8792
405	37595	8704
406	37705	8615
407	37783	8519
408	37859	8423
409	37934	8327
410	38007	8230
411	38088	8135
412	38191	8045
413	38307	7957
414	38418	7868
415	38507	7775
416	38579	7678
417	38680	7587
418	38763	7493
419	38842	7398
420	38931	7305
421	39011	7210
422	39093	7116
423	39166	7020
424	39258	6927
425	39351	6835
426	39435	6741
427	39522	6648
428	39607	6555
429	39675	6458
430	39754	6364
431	39831	6269
432	39917	6176
433	40026	6086
434	40120	5995
435	40227	5904
436	40331	5814
437	40411	5720
438	40510	5629
439	40604	5537
440	40683	5442
441	40771	5350
442	40860	5257
443	40946	5164
444	41045	5073
445	41142	4981
446	41255	4891
447	41341	4798
448	41443	4707
449	41526	4614
450	41646	4524
451	41759	4434
452	41839	4340
453	41947	4250
454	42040	4157
455	42128	4065
456	42222	3972
457	42301	3879
458	42404	3787
459	42483	3694
460	42573	3601
461	42677	3510
462	42791	3419
463	42889	3327
464	42988	3235
465	43171	3149
466	43321	3061
467	43427	2969
468	43547	2878
469	43637	2785
470	43761	2694
471	43883	2603
472	43979	2510
473	44080	2417
474	44168	2324
475	44246	2230
476	44339	2137
477	44463	2046
478	44548	1953
479	44626	1859
480	44719	1766
481	44806	1673
482	44904	1580
483	44991	1487
484	45116	1395
485	45200	1302
486	45307	1209
487	45415	1116
488	45493	1023
489	45576	930
490	45664	837
491	45753	743
492	45844	650
493	45937	557
494	46056	465
495	46193	372
496	46285	279
497	46381	186
498	46503	93
499	46614	0
